Q95,Q7min,BFI,Q710,MAF,Qmed,Q10,MaxQ,MedAMax,Max30Day,Flashiness,RBI,CV,Model,Period,Scenario,Catchment
14.59685,12.40042857,0.454442573,12.8169,48.13369456,35.042,101.253,250.93,185.305,4114.923,8.464840017,0.122370576,73.99930543,CM8.ssp1,Baseline,ssp1,18006
15.28485,12.438,0.468922051,12.6474,49.22619858,37.057,98.9226,259.7,186.585,4316.095,7.907470469,0.125974837,71.32913388,CM9.ssp1,Baseline,ssp1,18006
14.5307,12.00257143,0.439901667,12.5811,49.96400712,36.625,104.062,270.75,206.85,4981.7,8.973242858,0.12650972,76.2132739,CM10.ssp1,Baseline,ssp1,18006
14.03685,12.14685714,0.45724168,12.2359,48.56731347,36.7,100.36,281.88,185.04,4532.895,8.693474676,0.116262187,72.69479705,CM11.ssp1,Baseline,ssp1,18006
15.1647,12.89957143,0.466487688,13.2221,51.33200858,39.533,103.182,286,187.02,4277.06,8.238837564,0.12449295,70.21422755,CM12.ssp1,Baseline,ssp1,18006
13.8496,11.957,0.435338814,12.4745,48.26585489,35.818,99.0178,353.38,205.985,4266.874,8.941052449,0.129580392,76.71463252,CM1.ssp1,2020s,ssp1,18006
13.8762,12.11414286,0.398406544,12.3787,50.31794862,37.716,103.644,519.43,204.715,5007.64,9.205978582,0.131172808,78.8135947,CM2.ssp1,2020s,ssp1,18006
14.4646,11.97857143,0.468993063,12.3584,52.0711327,41.025,103.544,281.95,203.115,4551.805,8.799137204,0.129971984,70.71770318,CM3.ssp1,2020s,ssp1,18006
15.3376,12.01228571,0.455239148,12.2289,58.5845925,45.629,116.156,380.54,238.42,5298.81,9.404470061,0.14031504,73.05491132,CM4.ssp1,2020s,ssp1,18006
13.3648,11.86928571,0.41283727,12.1301,47.20746263,35.524,97.5824,271.31,191.965,4431.057,9.017568538,0.120494466,75.6936182,CM5.ssp1,2020s,ssp1,18006
13.9878,12.03214286,0.437915367,12.6895,49.50956649,36.604,103.074,279.73,186.905,4752.273,8.950228056,0.123653189,74.94644118,CM6.ssp1,2020s,ssp1,18006
14.5128,12.49814286,0.45730147,12.6809,47.84371242,34.913,98.2144,400.69,201.535,4423.947,8.430626757,0.12908983,75.62403933,CM7.ssp1,2020s,ssp1,18006
15.213,12.61928571,0.461960857,12.9084,48.90241161,35.824,100.438,271.89,205.695,4605.431,8.239269046,0.125529335,74.40142835,CM8.ssp1,2020s,ssp1,18006
14.6234,12.12371429,0.446939877,12.4511,48.82312166,36.039,101.208,301.78,190.51,3998.228,8.506229741,0.131436002,75.1578832,CM9.ssp1,2020s,ssp1,18006
14.4712,12.33785714,0.417884643,12.7278,52.73464908,38.181,111.016,410.48,218.06,5033.403,9.230471557,0.133605105,77.77237463,CM10.ssp1,2020s,ssp1,18006
14.1676,12.27842857,0.410626099,12.7586,48.65009811,34.077,104.638,303.06,201.67,4769.16,9.026370027,0.118232883,78.42686617,CM11.ssp1,2020s,ssp1,18006
15.7694,12.63885714,0.460891987,13.4049,50.98374601,37.682,103.78,417.96,220.385,5182.896,8.139815085,0.133852462,76.04106488,CM12.ssp1,2020s,ssp1,18006
13.78485,12.123,0.415618294,12.2628,46.84466563,33.37,98.397,391.88,203.99,4232.489,8.934155976,0.130924325,80.61108171,CM1.ssp1,2050s,ssp1,18006
13.79285,11.93471429,0.420146664,12.1873,53.90201077,41.1955,109.386,420.01,216.09,4949.759,9.691579333,0.134706962,76.86233315,CM2.ssp1,2050s,ssp1,18006
14.6258,12.16171429,0.443282396,12.9839,50.72443712,38.5465,103.66,270.16,211.465,4225.032,8.561514584,0.125562083,73.28578806,CM3.ssp1,2050s,ssp1,18006
15.41895,12.39085714,0.421239483,13.3495,57.90945766,42.7255,120.812,341.45,256.15,5091.622,9.525356785,0.139232123,76.97202988,CM4.ssp1,2050s,ssp1,18006
13.37885,11.77385714,0.372802841,12.0518,49.47521309,34.443,106.204,323.61,210.835,4605.184,9.683978817,0.128068281,80.51956504,CM5.ssp1,2050s,ssp1,18006
13.969,12.03371429,0.429825777,12.2892,50.188358,37.5225,103.406,302.92,209.34,5192.159,9.216837283,0.126578526,75.95913879,CM6.ssp1,2050s,ssp1,18006
