"Model","Scenario","Catchment","Period","Pct_Q95","Pct_BFI"
"CM1.ssp1","ssp1",16008,"2080s",-2.91377734039225,-18.4407516677121
"CM2.ssp1","ssp1",16008,"2080s",-14.204713551783,-12.090381958371
"CM3.ssp1","ssp1",16008,"2080s",-16.9770548971981,-15.6933651615095
"CM4.ssp1","ssp1",16008,"2080s",-7.00433626916555,-15.997781638058
"CM5.ssp1","ssp1",16008,"2080s",-11.0413963155051,-22.0391779558545
"CM6.ssp1","ssp1",16008,"2080s",-16.8662335142977,-21.6898121481827
"CM7.ssp1","ssp1",16008,"2080s",-10.7504789597591,-6.46221864758176
"CM8.ssp1","ssp1",16008,"2080s",-8.64994275007806,-19.4012819272579
"CM9.ssp1","ssp1",16008,"2080s",-3.8550398679659,-0.349408841997561
"CM10.ssp1","ssp1",16008,"2080s",12.0945312746547,-5.03939818314032
"CM11.ssp1","ssp1",16008,"2080s",-0.587184392341622,-14.9861743907856
"CM12.ssp1","ssp1",16008,"2080s",-5.53663127526599,-8.61329978459167
"CM1.ssp3","ssp3",16008,"2080s",-23.495349102092,-38.5899958585874
"CM2.ssp3","ssp3",16008,"2080s",-38.7405697085855,-36.3794932083694
"CM3.ssp3","ssp3",16008,"2080s",-32.9683007470595,-30.4216229885621
